name,latitude,longitude,minElevation,maxCloudCover,priority,exposure,capture_mode,default_capture_mode,start_times,end_times
griegesperanza,49.88,-126.77,50,15,2620,40,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 57, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 12, tzinfo=datetime.timezone.utc)]"
griegclio,50.60,-126.38,50,30,2610,40,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 44, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 3, tzinfo=datetime.timezone.utc)]"
griegnootka,49.71,-126.58,50,30,2600,30,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 57, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 17, tzinfo=datetime.timezone.utc)]"
griegokisollo,50.32,-125.26,50,30,2590,30,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 36, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 13, tzinfo=datetime.timezone.utc)]"
catala,49.78,-127.1,40,15,2580,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 36, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 38, tzinfo=datetime.timezone.utc)]"
vancouver,49.11,-123.12,40,15,2570,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 16, 42, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 53, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 46, tzinfo=datetime.timezone.utc)]"
blubberbay,49.8,-124.62,40,20,2560,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 6, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 51, tzinfo=datetime.timezone.utc)]"
deepbay,49.46,-124.74,40,30,2550,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 4, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 43, tzinfo=datetime.timezone.utc)]"
sechelt,49.3,-123.77,40,30,2540,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 23, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 16, 51, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 51, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 46, tzinfo=datetime.timezone.utc)]"
whalersbay,48.89,-123.33,40,30,2530,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 16, 41, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 41, tzinfo=datetime.timezone.utc)]"
checleset,49.58,-127.5,30,60,2520,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 17, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 17, 59, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 42, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 5, 18, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 6, 19, 16, tzinfo=datetime.timezone.utc)]"
mjosa,60.7043,11.0459,40,20,2510,35,wide,0,"[datetime.datetime(2025, 1, 21, 19, 56, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 43, 59, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 19, 57, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 17, 9, tzinfo=datetime.timezone.utc)]"
campbellriver,50.01924387812201,-125.31197202271731,50,30,2500,40,wide,0,"[datetime.datetime(2025, 1, 21, 18, 40, 41, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 41, 19, tzinfo=datetime.timezone.utc)]"
vigo,42.271441,-8.710142,60,30,2490,30,wide,0,"[datetime.datetime(2025, 1, 21, 10, 53, 32, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 53, 52, tzinfo=datetime.timezone.utc)]"
griegloppa,70.27,22.34,50,10,2480,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 26, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 13, 28, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 27, 4, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 41, 26, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 26, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 27, 31, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 42, 16, tzinfo=datetime.timezone.utc)]"
grieghammerfest,70.51,23.53,40,15,2470,35,wide,0,"[datetime.datetime(2025, 1, 21, 10, 45, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 25, 33, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 13, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 54, 34, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 26, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 41, 2, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 45, 17, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 46, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 14, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 54, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 19, 27, 52, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 42, 30, tzinfo=datetime.timezone.utc)]"
griegnordkapp,70.93,25.75,60,5,2460,35,wide,0,"[datetime.datetime(2025, 1, 21, 18, 26, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 41, 25, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 26, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 41, 44, tzinfo=datetime.timezone.utc)]"
rogaland,59.17,5.67,60,10,2450,35,wide,0,"[datetime.datetime(2025, 1, 22, 10, 16, 55, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, 19, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 10, 17, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, tzinfo=datetime.timezone.utc)]"
barentssea1,75.0313,26.0859,50,15,2440,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 44, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 12, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 54, 49, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 40, 15, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 44, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 27, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 12, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 55, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 40, 56, tzinfo=datetime.timezone.utc)]"
barentssea2,76.1483,29.6704,50,15,2435,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 43, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 54, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 26, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 11, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 54, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 39, 52, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 44, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 16, 54, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 27, 29, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 12, 35, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 55, 44, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 9, 40, 36, tzinfo=datetime.timezone.utc)]"
barentssea4,72.0984,42.5671,50,15,2430,45,wide,0,"[datetime.datetime(2025, 1, 21, 16, 52, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 39, 9, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 53, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 8, 7, 26, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 16, 52, 56, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 40, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 54, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 8, 7, 51, tzinfo=datetime.timezone.utc)]"
barentssea5,72.4790,47.3263,50,15,2425,45,wide,0,"[datetime.datetime(2025, 1, 21, 16, 52, 21, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 38, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 16, 21, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 54, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 8, 7, 2, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 16, 53, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 39, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 16, 20, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 53, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 8, 7, 48, tzinfo=datetime.timezone.utc)]"
barentssea3,69.7891,38.6458,50,15,2432,45,wide,0,"[datetime.datetime(2025, 1, 21, 18, 25, 16, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 39, 50, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 53, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 8, 8, 17, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 25, 38, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 8, 40, 41, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 53, 57, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 8, 8, 21, tzinfo=datetime.timezone.utc)]"
norwegiansea,65.4120,8.9138,50,15,2421,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 47, 3, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 1, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 47, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 19, 58, 48, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 10, 15, 49, tzinfo=datetime.timezone.utc)]"
ijsselmeer,52.7324,5.5132,50,15,2414,45,wide,0,"[datetime.datetime(2025, 1, 22, 10, 18, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 56, 8, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 10, 19, 2, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 56, 57, tzinfo=datetime.timezone.utc)]"
englishatlantic,59.9411,-3.7930,50,15,2411,45,wide,0,"[datetime.datetime(2025, 1, 21, 10, 48, 43, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 21, 30, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, 35, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 10, 49, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 21, 30, 54, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 58, 52, tzinfo=datetime.timezone.utc)]"
falklandsatlantic,-54.3096,-60.7053,50,15,2410,45,wide,0,"[datetime.datetime(2025, 1, 21, 12, 53, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 43, 25, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 12, 52, 58, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 44, 13, tzinfo=datetime.timezone.utc)]"
sanjorgegulf,-46.0317,-65.5414,50,15,2400,45,wide,0,"[datetime.datetime(2025, 1, 22, 13, 51, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 45, 39, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 13, 52, 45, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 2, 46, 30, tzinfo=datetime.timezone.utc)]"
atlantic1,46.8348,-48.5813,50,10,2390,40,wide,0,"[datetime.datetime(2025, 1, 22, 0, 34, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 27, 55, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 0, 35, 18, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 13, 28, 22, tzinfo=datetime.timezone.utc)]"
northsea,52.9864,2.7583,50,10,2380,40,wide,0,"[datetime.datetime(2025, 1, 22, 10, 18, 19, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 56, 21, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 10, 19, 7, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 20, 57, 5, tzinfo=datetime.timezone.utc)]"
seaofazov,45.4941,36.6463,50,10,2365,35,wide,0,"[datetime.datetime(2025, 1, 23, 8, 14, 28, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 23, 8, 14, 25, tzinfo=datetime.timezone.utc)]"
caspiansea1,44.9028,47.9987,60,5,2360,30,wide,0,"[datetime.datetime(2025, 1, 21, 18, 18, 47, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 7, 12, 57, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 18, 18, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 7, 13, 16, tzinfo=datetime.timezone.utc)]"
caspiansea2,45.7185,50.1439,60,5,2350,30,wide,0,"[datetime.datetime(2025, 1, 22, 7, 12, 47, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 22, 7, 12, 49, tzinfo=datetime.timezone.utc)]"
caspiansea3,38.5324,53.3624,60,5,2340,30,wide,0,"[datetime.datetime(2025, 1, 23, 6, 42, 29, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 23, 6, 42, 48, tzinfo=datetime.timezone.utc)]"
northaustralia1,-13.6363,126.1688,60,5,2330,30,wide,0,[],[]
northaustralia2,-15.6773,124.2246,60,5,2320,30,wide,0,[],[]
igalikufjorden,60.81,-45.58,60,10,2310,25,wide,0,"[datetime.datetime(2025, 1, 21, 13, 56, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 0, 6, 17, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 13, 56, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 0, 6, 35, tzinfo=datetime.timezone.utc)]"
bredefjord,60.85,-46.61,60,1,2300,25,wide,0,"[datetime.datetime(2025, 1, 21, 13, 56, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 0, 6, 20, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 13, 56, 36, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 23, 0, 6, 38, tzinfo=datetime.timezone.utc)]"
svalbardnyaalesund,78.96,11.95,60,1,2280,35,wide,0,"[datetime.datetime(2025, 1, 21, 12, 16, 59, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 28, 13, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 45, 6, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 56, 23, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 12, 17, 14, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 28, 32, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 45, 24, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 56, 38, tzinfo=datetime.timezone.utc)]"
svalbardeidembukta,78.38,12.30,60,1,2270,35,wide,0,"[datetime.datetime(2025, 1, 21, 12, 17, 8, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 28, 5, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 45, 12, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 56, 19, tzinfo=datetime.timezone.utc)]","[datetime.datetime(2025, 1, 21, 12, 17, 15, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 21, 18, 28, 25, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 11, 45, 30, tzinfo=datetime.timezone.utc), datetime.datetime(2025, 1, 22, 17, 56, 28, tzinfo=datetime.timezone.utc)]"
